Item,N.P. ID#,Model #,Internet #,URL,Price per Unit,,,,,,,,
Dementional Lumber,,,,,,,,,,,Take off Calculations,,
1/4'' CDX,00169,,,,,,,,,,,,
"1/2"" Plywood",00170,,,,,,,,,,,,
1/2'' CDX,00171,,,,,,,,,,,,
5/8'' Plywood,00172,,,,,,,,,,,,
5/8'' CDX,00173,,,,,,,,,,,,
3/4'' Plywood,00174,,,,,,,,,,,,
3/4'' CDX,00175,,,,,,,,,,,,
1'' Plywood,00176,,,,,,,,,,,,
1'' CDX,00177,,,,,,,,,,,,
,00178,,,,,,,,,,,,
,00179,,,,,,,,,,,,
,00180,,,,,,,,,,,,
,00181,,,,,,,,,,,,
,00182,,,,,,,,,,,,
1x4x8' Trim,00183,,,,,,,,,,,,
1x4x16' tim,00184,,,,,,,,,,,,
,00185,,,,,,,,,,,,
"Black comp shingle 
 rofing",00186,,,,,,,,,,,,
2x8 facsia,00187,,,,,,,,,,,,
2x10 fascia,00188,,,,,,,,,,,,
t1- 11 sigin,00189,,,,,,,,,,,,
Horrizontal Lap Siding,00190,,,,,,,,,,,,
6'' T&G x 16',00191,,,,,,,,,,,,
,00192,,,,,,,,,,,,
,00193,,,,,,,,,,,,
,00194,,,,,,,,,,,,
,00195,,,,,,,,,,,,
,00196,,,,,,,,,,,,
,00197,,,,,,,,,,,,
,00198,,,,,,,,,,,,
,00199,,,,,,,,,,,,
,00200,,,,,,,,,,,,
,00201,,,,,,,,,,,,
,00202,,,,,,,,,,,,
,00203,,,,,,,,,,,,
,00204,,,,,,,,,,,,
,00205,,,,,,,,,,,,
,00206,,,,,,,,,,,,
,00207,,,,,,,,,,,,
,00208,,,,,,,,,,,,
,00209,,,,,,,,,,,,
,00210,,,,,,,,,,,,
,00211,,,,,,,,,,,,
,00212,,,,,,,,,,,,
,00213,,,,,,,,,,,,
,00214,,,,,,,,,,,,
,00215,,,,,,,,,,,,
,00216,,,,,,,,,,,,
